轧辊号,机架号,装入时刻,结束时刻,运行时间,轧制块数,轧制重量（t）,轧制长度,磨削日期,磨削量,在线磨损,总磨损量,毫米轧制量
BJ07,FM,2018/4/25 3:24,2018/5/27 3:08,2763896,13937,169374.003,2077091,2018.06.12,1.56,2.07,3.63,46659.50496
BJ01,FM,2018/4/25 3:24,2018/5/27 3:09,2763897,13937,169374.003,2077091,2019.03.15,2.07,2.28,4.35,38936.55241
BJ07,FM,2018/9/2 18:34,2018/10/9 14:34,3182393,15493,202284.4,2371974,2018.10.21,1.93,0.81,2.74,73826.42336
BJ02,FM,2018/9/2 18:35,2018/10/9 13:53,3179878,15493,202284.4,2371974,2018.10.22,2,1.28,3.28,61672.07317
BC02,FM,2018/10/9 13:53,2018/11/2 12:46,2069585,10095,122494.229,1540905,2018.11.02,6.9,1.27,8.17,14993.17368
BC01,FM,2018/10/9 14:34,2018/11/2 13:02,2068067,10095,122494.229,1540905,2018.11.07,1.96,2.55,4.51,27160.58293
BJ07,FM,2018/12/17 14:11,2019/1/22 1:34,3064989,16002,206553.713,2458722,2019.01.23,2.09,1.85,3.94,52424.80025
BC02,FM,2018/12/17 14:11,2019/1/22 1:33,3064910,16002,206553.713,2458722,2019.01.22,1.92,2.48,4.4,46944.02568
BC01,FM,2019/1/22 1:33,2019/3/2 16:37,3423832,17847,240167.53,2648118,2019.03.03,1.78,4.81,6.59,36444.23824
BJ02,FM,2019/1/22 1:34,2019/3/2 16:45,3424265,17847,240167.53,2648118,2019.03.02,2.66,2.12,4.78,50244.25314
BC01,FM,2019/4/4 1:29,2019/4/26 15:34,1951477,9817,131495.444,1449806,2019.05.18,1.8,3.59,5.39,24396.18627
BJ01,FM,2019/4/4 1:30,2019/4/26 15:34,1951467,9817,131495.444,1449806,2019.05.17,2.1,1.21,3.31,39726.72024
BC02,FM,2019/4/26 15:34,2019/5/28 13:54,2758827,14319,186647.369,2038175,2019.06.19,1.93,2.71,4.64,40225.72608
BJ07,FM,2019/4/26 15:34,2019/5/28 14:10,2759755,14319,186647.369,2038175,2019.06.21,2.74,1.68,4.42,42227.91154
BC01,FM,2019/5/28 13:54,2019/7/1 15:03,2941713,16381,213237.997,2349244,2019.07.18,2.33,5,7.33,29091.13192
BJ01,FM,2019/5/28 14:10,2019/7/1 15:03,2940790,16381,213237.997,2349244,2019.07.03,1.88,1.49,3.37,63275.37003
BC02,FM,2019/7/1 15:03,2019/8/3 14:15,2848312,15369,198310.213,2154360,2019.08.03,1.83,3.2,5.03,39425.48966
BJ07,FM,2019/7/1 15:03,2019/8/3 14:00,2847378,15369,198310.213,2154360,2019.08.05,1.9,1.52,3.42,57985.4424
BJ01,FM,2019/8/3 14:00,2019/9/6 12:11,2931047,15618,198792.406,2236121,2019.09.07,1.97,1.35,3.32,59877.23072
BC01,FM,2019/8/3 14:15,2019/9/6 12:12,2930210,15618,198792.406,2236121,2019.09.06,1.83,5.01,6.84,29063.21725
BJ07,FM,2019/9/6 12:11,2019/10/11 16:54,3041014,17057,227483.821,2418248,2019.10.18,2.52,1.36,3.88,58629.85077
BC02,FM,2019/9/6 12:12,2019/10/11 16:53,3040896,17057,227483.821,2418248,2019.10.19,2.01,3.55,5.56,40914.35629
BC01,FM,2019/10/11 16:53,2019/11/9 22:33,2525967,13478,173446.489,1948476,2020.08.13,1.4,4.17,5.57,31139.40557
BJ01,FM,2019/10/11 16:54,2019/11/9 22:46,2526694,13478,173446.489,1948476,2019.11.29,2.28,1.22,3.5,49556.13971
BC02,FM,2019/11/9 22:33,2019/12/17 21:12,3278377,18221,242684.819,2761263,2019.12.24,1.92,3.89,5.81,41770.1926
BJ07,FM,2019/11/9 22:46,2019/12/17 21:15,3277732,18221,242684.819,2761263,2019.12.23,1.9,1.98,3.88,62547.63376
BJ03,FM,2019/12/17 21:12,2020/1/14 13:16,2390634,13148,175700.756,2066974,2020.01.16,2.02,1.32,3.34,52605.01677
BJ01,FM,2019/12/17 21:15,2020/1/14 13:18,1526587,13148,175700.756,2066974,2020.01.15,1.88,1.19,3.07,57231.51661
BC02,FM,2020/3/25 1:51,2020/4/23 14:06,2549720,14371,174391.638,2107345,2020.05.12,1.71,2.77,4.48,38926.70491
BJ07,FM,2020/3/25 1:51,2020/4/23 13:55,2548992,14371,174391.638,2107345,2020.04.27,1.76,1.64,3.4,51291.65824
BC02,FM,2020/6/4 18:17,2020/7/10 16:10,3102796,18266,230241.11,2539356,2020.07.16,1.28,3.42,4.7,48987.47021
BJ07,FM,2020/6/4 18:30,2020/7/10 16:00,3101370,18266,230241.11,2539356,2020.07.11,1.63,1.84,3.47,66351.9049
BJ01,FM,2020/7/10 16:00,2020/8/12 4:42,2810557,16222,206343.18,2196001,2021.03.15,1.66,1.63,3.29,62718.29179
BJ03,FM,2020/7/10 16:10,2020/8/12 4:41,2809877,16222,206343.18,2196001,2020.08.14,1.62,1.14,2.76,74762.02174
BJ07,FM,2020/8/12 4:41,2020/9/22 14:28,3577572,20259,267833.486,2776822,2020.09.23,1.37,1.66,3.03,88393.88977
